Adding: Name Gender Date of birth Telephone Postal code 
Adding: Harold Cheney M 18-7-1981 519 601 6721 N2L 6B5 
Adding: Naomi Costa F 28-11-1976 519 792 522 N2L 4T6 
Adding: Joelle Stanwood F 4-3-1962 519 319 3982 N2L 1L9 
Adding: Lyndsey Shuster F 10-8-1967 519 558 2831 N2L 4M5 
Adding: Agnes Zimmermann F 19-3-1963 519 745 5261 N2L 2L1 
Adding: Kailee Sweet F 2-2-1979 519 557 7376 N2L 5J1 
Adding: Hector Wood M 21-1-1985 519 223 686 N2L 1S6 
Adding: Karl Cortes M 7-6-1977 519 818 1894 N2L 2Q9 
Adding: Nyasia Fogleman F 9-11-1987 519 317 4341 N2L 7H9 
Adding: Lorraine Glorioso M 7-7-1989 519 885 1198 N2L 3B1 
Adding: Timothy Ooi M 1-3-1969 519 539 2629 N2L 6N9 
Adding: Shelton Jordon M 21-4-1990 519 083 1481 N2L 0B0 
Adding: Alanis Turnbull F 9-12-1964 519 480 7201 N2L 7F6 
Adding: Thomas Rye M 21-7-1960 519 686 4810 N2L 3P3 
Adding: Madeline Steinberg F 11-10-1972 519 699 432 N2L 6E4 
Adding: Phoenix Chazov M 25-12-1988 519 108 6989 N2L 1T4 
Adding: Darryl Xu M 22-4-1963 519 71 6237 N2L 1A8 
Adding: Marcelo Gasol M 13-2-1979 519 883 2221 N2L 5F8 
Adding: Daisy Ho F 5-12-1969 519 294 1169 N2L 3O9 
Adding: Mohammed Kochetkova M 9-2-1972 519 164 5348 N2L 8Q5 
Adding: Danny Kaufmann M 3-7-1972 519 503 4944 N2L 8Z1 
Adding: Joelle Moretti F 9-7-1982 519 487 8256 N2L 1T3 
Adding: Jeremiah Kwan M 4-4-1983 519 611 934 N2L 8E8 
Adding: Jessie Huang M 21-6-1966 519 843 3560 N2L 7U7 
Adding: Ivan Weitzman M 15-3-1962 519 796 3656 N2L 1L9 
Adding: Noah Gasaway M 10-9-1990 519 364 0504 N2L 8B1 
Adding: Issac Koung M 11-1-1974 519 849 4315 N2L 3G1 
Adding: Damian Ogonyok M 19-4-1974 519 209 6228 N2L 1Q3 
Adding: Dandre Meyer M 4-12-1967 519 276 6946 N2L 5K5 
Adding: Connor Smith M 9-6-1966 519 320 8091 N2L 1F4 
Adding: Jaylynn Lam F 27-7-1964 519 172 4276 N2L 1Q5 
Adding: Shantay Auton M 21-3-1985 519 999 6634 N2L 1B1 
Adding: Jaheim Nieman M 27-10-1964 519 563 5467 N2L 8U6 
Adding: Jeremy He M 5-3-1981 519 672 7596 N2L 1B8 
Adding: Jayden Rosenberg M 17-11-1977 519 219 2162 N2L 9J2 
Adding: Courtney Ng F 13-4-1975 519 529 8992 N2L 9O4 
Adding: Paul Thomas M 3-10-1979 519 228 1013 N2L 3G3 
Adding: Josef Gutierrez M 15-2-1970 519 900 6393 N2L 5B5 
Adding: Maximillian Reynard M 14-4-1981 519 253 7299 N2L 6B5 
Adding: Ming Vidaurri M 11-4-1970 519 171 7125 N2L 1B3 
Adding: Dianna Wu F 19-7-1973 519 443 8090 N2L 1Y4 
